Angle1,Angle2,State,Result,
33,20,1,0,
33,20,1,0,
33,20,2,0,
33,20,2,0,
33,20,2,0,
33,20,3,0,
33,20,3,0,
33,20,3,0,
41,19,1,9.6431941986084,
41,19,2,9.6431941986084,
41,19,2,9.6431941986084,
41,19,2,9.6431941986084,
41,19,3,9.6431941986084,
41,19,3,9.6431941986084,
41,19,3,9.6431941986084,
41,19,0,8.39129066467285,
49.28,340,1,8.39129066467285,
49.28,340,2,8.39129066467285,
49.28,340,2,8.39129066467285,
49.28,340,2,8.39129066467285,
49.28,340,2,8.39129066467285,
49.28,340,3,8.39129066467285,
49.28,340,3,8.39129066467285,
49.28,340,0,10.8099460601807,
