Angle1,Angle2,State,Result,
355,76,1,0,
355,76,1,0,
355,76,1,0,
355,76,2,0,
355,76,3,0,
355,76,3,0,
355,76,3,0,
355,76,3,0,
61.6,340,1,5.56399345397949,
61.6,340,2,5.56399345397949,
61.6,340,2,5.56399345397949,
61.6,340,2,5.56399345397949,
61.6,340,2,5.56399345397949,
61.6,340,3,5.56399345397949,
61.6,340,3,5.56399345397949,
61.6,340,3,5.56399345397949,
49.28,340,1,10.4059057235718,
49.28,340,2,10.4059057235718,
49.28,340,2,10.4059057235718,
49.28,340,2,10.4059057235718,
49.28,340,2,10.4059057235718,
49.28,340,3,10.4059057235718,
49.28,340,3,10.4059057235718,
49.28,340,3,10.4059057235718,
