Angle1,Angle2,State,Result,
19,59,1,0,
19,59,1,0,
19,59,1,0,
19,59,1,0,
19,59,1,0,
19,59,1,0,
19,59,1,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,2,0,
19,59,3,0,
19,59,3,0,
19,59,3,0,
19,59,4,0,
313,344,1,0,
313,344,1,0,
313,344,1,0,
313,344,1,0,
313,344,1,0,
313,344,2,0,
313,344,2,0,
313,344,2,0,
313,344,3,0,
327,38,1,0,
327,38,1,0,
327,38,1,0,
327,38,1,0,
327,38,2,0,
327,38,2,0,
327,38,3,0,
327,38,3,0,
327,38,3,0,
10,357,1,0,
10,357,1,0,
10,357,1,0,
10,357,2,0,
10,357,2,0,
10,357,2,0,
10,357,3,0,
10,357,3,0,
10,357,4,0,
1,345,1,0,
1,345,1,0,
1,345,1,0,
1,345,2,0,
1,345,2,0,
1,345,2,0,
1,345,2,0,
1,345,3,0,
65,359,2,0,
65,359,2,0,
65,359,2,0,
65,359,3,0,
65,359,3,0,
65,359,3,0,
65,359,3,0,
65,359,3,0,
65,359,3,0,
65,359,3,0,
9,71,1,0,
9,71,1,0,
9,71,1,0,
9,71,2,0,
9,71,3,0,
9,71,3,0,
9,71,3,0,
9,71,3,0,
9,71,3,0,
9,71,3,0,
9,71,3,0,
47,341,1,0,
47,341,1,0,
47,341,2,0,
47,341,2,0,
47,341,2,0,
47,341,3,0,
47,341,3,0,
47,341,3,0,
47,341,3,0,
47,341,3,0,
64,77,1,0,
64,77,3,0,
64,77,3,0,
64,77,3,0,
64,77,3,0,
64,77,3,0,
29,13,1,0,
29,13,1,0,
29,13,2,0,
29,13,2,0,
29,13,3,0,
29,13,3,0,
29,13,3,0,
29,13,3,0,
29,13,3,0,
29,13,3,0,
337,348,1,0,
337,348,1,0,
337,348,1,0,
337,348,2,0,
337,348,2,0,
337,348,2,0,
337,348,2,0,
337,348,3,0,
25,279,1,0,
25,279,1,0,
25,279,2,0,
25,279,2,0,
25,279,2,0,
25,279,2,0,
25,279,2,0,
25,279,2,0,
25,279,3,0,
62,315,1,0,
62,315,2,0,
62,315,2,0,
62,315,2,0,
62,315,2,0,
62,315,3,0,
62,315,3,0,
62,315,3,0,
286,314,1,0,
286,314,1,0,
286,314,1,0,
286,314,1,0,
286,314,1,0,
286,314,2,0,
286,314,2,0,
286,314,2,0,
286,314,2,0,
286,314,2,0,
3,64,1,0,
3,64,1,0,
3,64,2,0,
3,64,3,0,
3,64,3,0,
3,64,3,0,
3,64,3,0,
3,64,3,0,
3,64,3,0,
3,64,3,0,
3,64,3,0,
58,68,1,0,
58,68,2,0,
58,68,3,0,
58,68,3,0,
58,68,3,0,
58,68,3,0,
58,68,3,0,
58,68,3,0,
359,48,1,0,
359,48,1,0,
359,48,1,0,
359,48,2,0,
359,48,3,0,
359,48,3,0,
359,48,3,0,
359,48,3,0,
359,48,3,0,
359,48,3,0,
273,293,1,0,
273,293,1,0,
273,293,1,0,
273,293,1,0,
273,293,1,0,
273,293,1,0,
273,293,2,0,
273,293,2,0,
273,293,2,0,
273,293,2,0,
273,293,2,0,
273,293,3,0,
342,21,1,0.84810733795166,
342,21,1,0.84810733795166,
342,21,1,0.84810733795166,
342,21,2,0.84810733795166,
342,21,2,0.84810733795166,
342,21,3,0.84810733795166,
342,21,3,0.84810733795166,
342,21,3,0.84810733795166,
342,340,1,8.72619724273682,
342,340,1,8.72619724273682,
342,340,1,8.72619724273682,
342,340,1,8.72619724273682,
342,340,2,8.72619724273682,
342,340,2,8.72619724273682,
342,340,2,8.72619724273682,
342,340,3,8.72619724273682,
10,25.2,1,3.22176146507263,
10,25.2,1,3.22176146507263,
10,25.2,2,3.22176146507263,
10,25.2,2,3.22176146507263,
10,25.2,2,3.22176146507263,
10,25.2,3,3.22176146507263,
10,25.2,3,3.22176146507263,
10,25.2,3,3.22176146507263,
10,25.2,3,3.22176146507263,
10,25.2,3,3.22176146507263,
295,53,1,0,
295,53,1,0,
295,53,1,0,
295,53,1,0,
295,53,1,0,
295,53,1,0,
295,53,2,0,
295,53,3,0,
35,288,1,6.01872968673706,
35,288,1,6.01872968673706,
35,288,2,6.01872968673706,
35,288,2,6.01872968673706,
35,288,2,6.01872968673706,
35,288,2,6.01872968673706,
35,288,2,6.01872968673706,
35,288,3,6.01872968673706,
344,29,1,1.81836080551147,
344,29,1,1.81836080551147,
344,29,1,1.81836080551147,
344,29,2,1.81836080551147,
344,29,2,1.81836080551147,
344,29,3,1.81836080551147,
344,29,3,1.81836080551147,
344,29,3,1.81836080551147,
344,29,3,1.81836080551147,
280,282,1,0,
280,282,1,0,
280,282,1,0,
280,282,1,0,
280,282,1,0,
280,282,2,0,
280,282,2,0,
280,282,2,0,
280,282,2,0,
280,282,2,0,
280,282,2,0,
32,14.4,1,0.331951647996902,
32,14.4,1,0.331951647996902,
32,14.4,2,0.331951647996902,
32,14.4,2,0.331951647996902,
32,14.4,2,0.331951647996902,
32,14.4,3,0.331951647996902,
32,14.4,3,0.331951647996902,
32,14.4,3,0.331951647996902,
32,14.4,3,0.331951647996902,
32,14.4,3,0.331951647996902,
32,14.4,3,0.331951647996902,
25.6,14.4,1,12.4570140838623,
25.6,14.4,1,12.4570140838623,
25.6,14.4,2,12.4570140838623,
25.6,14.4,2,12.4570140838623,
25.6,14.4,3,12.4570140838623,
25.6,14.4,3,12.4570140838623,
25.6,14.4,3,12.4570140838623,
25.6,14.4,3,12.4570140838623,
25.6,14.4,3,12.4570140838623,
25.6,14.4,3,12.4570140838623,
25.6,11,1,13.0418491363525,
25.6,11,1,13.0418491363525,
25.6,11,1,13.0418491363525,
25.6,11,2,13.0418491363525,
25.6,11,2,13.0418491363525,
25.6,11,3,13.0418491363525,
25.6,11,3,13.0418491363525,
25.6,11,3,13.0418491363525,
25.6,11,3,13.0418491363525,
25.6,11,3,13.0418491363525,
25.6,11,0,13.1526298522949,
20.8,14.4,1,13.1526298522949,
20.8,14.4,1,13.1526298522949,
20.8,14.4,2,13.1526298522949,
20.8,14.4,2,13.1526298522949,
20.8,14.4,3,13.1526298522949,
20.8,14.4,3,13.1526298522949,
20.8,14.4,3,13.1526298522949,
20.8,14.4,3,13.1526298522949,
20.8,14.4,3,13.1526298522949,
20.8,14.4,4,13.1526298522949,
25.6,13.2,1,13.2913370132446,
25.6,13.2,1,13.2913370132446,
25.6,13.2,2,13.2913370132446,
25.6,13.2,2,13.2913370132446,
25.6,13.2,2,13.2913370132446,
25.6,13.2,3,13.2913370132446,
25.6,13.2,3,13.2913370132446,
25.6,13.2,3,13.2913370132446,
25.6,13.2,3,13.2913370132446,
25.6,13.2,3,13.2913370132446,
25.6,13.2,1,13.1526260375977,
25.6,13.2,1,13.1526260375977,
25.6,13.2,2,13.1526260375977,
25.6,13.2,2,13.1526260375977,
25.6,13.2,2,13.1526260375977,
25.6,13.2,3,13.1526260375977,
25.6,13.2,3,13.1526260375977,
25.6,13.2,3,13.1526260375977,
25.6,13.2,3,13.1526260375977,
25.6,13.2,3,13.1526260375977,
30.72,10.56,1,13.1526174545288,
30.72,10.56,1,13.1526174545288,
30.72,10.56,2,13.1526174545288,
30.72,10.56,2,13.1526174545288,
30.72,10.56,2,13.1526174545288,
30.72,10.56,3,13.1526174545288,
30.72,10.56,3,13.1526174545288,
30.72,10.56,3,13.1526174545288,
30.72,10.56,3,13.1526174545288,
30.72,10.56,3,13.1526174545288,
30.72,10.56,0,12.936863899231,
30.72,10.56,1,12.936863899231,
30.72,10.56,2,12.936863899231,
30.72,10.56,2,12.936863899231,
30.72,10.56,2,12.936863899231,
30.72,10.56,3,12.936863899231,
30.72,10.56,3,12.936863899231,
30.72,10.56,3,12.936863899231,
30.72,10.56,3,12.936863899231,
30.72,10.56,3,12.936863899231,
30.72,10.56,3,12.936863899231,
30.72,10.56,1,12.9368515014648,
30.72,10.56,1,12.9368515014648,
30.72,10.56,2,12.9368515014648,
30.72,10.56,2,12.9368515014648,
30.72,10.56,3,12.9368515014648,
30.72,10.56,3,12.9368515014648,
30.72,10.56,3,12.9368515014648,
30.72,10.56,3,12.9368515014648,
30.72,10.56,3,12.9368515014648,
30.72,10.56,3,12.9368515014648,
30.72,12.672,1,12.936840057373,
30.72,12.672,1,12.936840057373,
30.72,12.672,2,12.936840057373,
30.72,12.672,2,12.936840057373,
30.72,12.672,2,12.936840057373,
30.72,12.672,3,12.936840057373,
30.72,12.672,3,12.936840057373,
30.72,12.672,3,12.936840057373,
30.72,12.672,3,12.936840057373,
30.72,12.672,3,12.936840057373,
30.72,12.672,0,12.7406730651855,
30.72,12.672,1,12.7406730651855,
30.72,12.672,2,12.7406730651855,
30.72,12.672,2,12.7406730651855,
30.72,12.672,2,12.7406730651855,
30.72,12.672,3,12.7406730651855,
30.72,12.672,3,12.7406730651855,
30.72,12.672,3,12.7406730651855,
30.72,12.672,3,12.7406730651855,
30.72,12.672,3,12.7406730651855,
30.72,12.672,3,12.7406730651855,
36.864,10.1376,1,12.7406625747681,
36.864,10.1376,1,12.7406625747681,
36.864,10.1376,2,12.7406625747681,
36.864,10.1376,2,12.7406625747681,
36.864,10.1376,2,12.7406625747681,
36.864,10.1376,3,12.7406625747681,
36.864,10.1376,3,12.7406625747681,
36.864,10.1376,3,12.7406625747681,
36.864,10.1376,3,12.7406625747681,
36.864,10.1376,3,12.7406625747681,
36.864,10.1376,0,12.3588838577271,
36.864,12.16512,1,12.3588838577271,
36.864,12.16512,1,12.3588838577271,
36.864,12.16512,2,12.3588838577271,
36.864,12.16512,2,12.3588838577271,
36.864,12.16512,3,12.3588838577271,
36.864,12.16512,3,12.3588838577271,
36.864,12.16512,3,12.3588838577271,
36.864,12.16512,3,12.3588838577271,
36.864,12.16512,3,12.3588838577271,
36.864,12.16512,3,12.3588838577271,
29.4912,12.16512,1,11.9857873916626,
29.4912,12.16512,1,11.9857873916626,
29.4912,12.16512,2,11.9857873916626,
29.4912,12.16512,2,11.9857873916626,
29.4912,12.16512,2,11.9857873916626,
29.4912,12.16512,3,11.9857873916626,
29.4912,12.16512,3,11.9857873916626,
29.4912,12.16512,3,11.9857873916626,
29.4912,12.16512,3,11.9857873916626,
29.4912,12.16512,3,11.9857873916626,
29.4912,12.16512,4,11.9857873916626,
29.4912,11.6785152,1,12.988452911377,
29.4912,11.6785152,1,12.988452911377,
29.4912,11.6785152,2,12.988452911377,
29.4912,11.6785152,2,12.988452911377,
29.4912,11.6785152,3,12.988452911377,
29.4912,11.6785152,3,12.988452911377,
29.4912,11.6785152,3,12.988452911377,
29.4912,11.6785152,3,12.988452911377,
29.4912,11.6785152,3,12.988452911377,
29.4912,11.6785152,3,12.988452911377,
29.4912,11.6785152,1,12.9884395599365,
29.4912,11.6785152,1,12.9884395599365,
29.4912,11.6785152,2,12.9884395599365,
29.4912,11.6785152,2,12.9884395599365,
29.4912,11.6785152,3,12.9884395599365,
29.4912,11.6785152,3,12.9884395599365,
29.4912,11.6785152,3,12.9884395599365,
29.4912,11.6785152,3,12.9884395599365,
29.4912,11.6785152,3,12.9884395599365,
29.4912,11.6785152,3,12.9884395599365,
35.38944,11.6785152,1,12.9884262084961,
35.38944,11.6785152,2,12.9884262084961,
35.38944,11.6785152,2,12.9884262084961,
35.38944,11.6785152,2,12.9884262084961,
35.38944,11.6785152,3,12.9884262084961,
35.38944,11.6785152,3,12.9884262084961,
35.38944,11.6785152,3,12.9884262084961,
35.38944,11.6785152,3,12.9884262084961,
35.38944,11.6785152,3,12.9884262084961,
35.38944,11.6785152,3,12.9884262084961,
35.38944,14.01421824,1,12.4069185256958,
35.38944,14.01421824,1,12.4069185256958,
35.38944,14.01421824,2,12.4069185256958,
35.38944,14.01421824,2,12.4069185256958,
35.38944,14.01421824,2,12.4069185256958,
35.38944,14.01421824,3,12.4069185256958,
35.38944,14.01421824,3,12.4069185256958,
35.38944,14.01421824,3,12.4069185256958,
35.38944,14.01421824,3,12.4069185256958,
35.38944,14.01421824,3,12.4069185256958,
35.38944,14.01421824,3,12.4069185256958,
35.38944,16.817061888,1,12.0338468551636,
35.38944,16.817061888,1,12.0338468551636,
35.38944,16.817061888,2,12.0338468551636,
35.38944,16.817061888,2,12.0338468551636,
35.38944,16.817061888,3,12.0338468551636,
35.38944,16.817061888,3,12.0338468551636,
35.38944,16.817061888,3,12.0338468551636,
35.38944,16.817061888,3,12.0338468551636,
35.38944,16.817061888,3,12.0338468551636,
35.38944,16.817061888,3,12.0338468551636,
35.38944,16.817061888,3,12.0338468551636,
35.38944,16.817061888,1,11.5699729919434,
35.38944,16.817061888,1,11.5699729919434,
35.38944,16.817061888,2,11.5699729919434,
35.38944,16.817061888,2,11.5699729919434,
35.38944,16.817061888,3,11.5699729919434,
35.38944,16.817061888,3,11.5699729919434,
35.38944,16.817061888,3,11.5699729919434,
35.38944,16.817061888,3,11.5699729919434,
35.38944,16.817061888,3,11.5699729919434,
35.38944,16.817061888,3,11.5699729919434,
35.38944,16.817061888,1,11.5699815750122,
35.38944,16.817061888,1,11.5699815750122,
35.38944,16.817061888,2,11.5699815750122,
35.38944,16.817061888,2,11.5699815750122,
35.38944,16.817061888,2,11.5699815750122,
35.38944,16.817061888,3,11.5699815750122,
35.38944,16.817061888,3,11.5699815750122,
35.38944,16.817061888,3,11.5699815750122,
35.38944,16.817061888,3,11.5699815750122,
35.38944,16.817061888,3,11.5699815750122,
35.38944,16.817061888,3,11.5699815750122,
35.38944,16.817061888,1,11.5699787139893,
35.38944,16.817061888,1,11.5699787139893,
35.38944,16.817061888,2,11.5699787139893,
35.38944,16.817061888,2,11.5699787139893,
35.38944,16.817061888,3,11.5699787139893,
35.38944,16.817061888,3,11.5699787139893,
35.38944,16.817061888,3,11.5699787139893,
35.38944,16.817061888,3,11.5699787139893,
35.38944,16.817061888,3,11.5699787139893,
35.38944,16.817061888,3,11.5699787139893,
35.38944,16.817061888,0,11.5699815750122,
42.467328,13.4536495104,1,11.5699815750122,
